kd_kab,total,COMPLETED BY Admin Kabupaten,OPEN,EDITED BY Admin Kabupaten,prov_id,name,time_stamp,type,REVOKED BY Admin Kabupaten,APPROVED BY Pengawas,REJECTED BY Pengawas,SUBMITTED BY Pencacah,APPROVED BY ADMIN KABUPATEN,COMPLETED BY ADMIN PROVINSI,APPROVED BY PENGAWAS,DRAFT,SUBMITTED RESPONDENT,APPROVED BY ADMIN PROVINSI,APPROVED BY Admin Kabupaten,EDITED BY Admin Pusat,assigned,have-not-assigned
9603,7.0,7.0,,,96,Pencacahan SKTH 2024,2026-02-20 09:26:44,progress,,,,,,,,,,,,,,
9606,6.0,6.0,,,96,Pencacahan SKTH 2024,2026-02-20 09:26:44,progress,,,,,,,,,,,,,,
9607,6.0,6.0,,,96,Pencacahan SKTH 2024,2026-02-20 09:26:44,progress,,,,,,,,,,,,,,
9602,3.0,3.0,,,96,Pencacahan SKTH 2024,2026-02-20 09:26:44,progress,,,,,,,,,,,,,,
9408,1.0,,,,94,SURVEI TRIWULANAN PERUSAHAAN AIR BERSIH 2025,2026-02-20 09:26:44,progress,,,,,1.0,,,,,,,,,
9409,1.0,,,,94,SURVEI TRIWULANAN PERUSAHAAN AIR BERSIH 2025,2026-02-20 09:26:44,progress,,,,,1.0,,,,,,,,,
9471,1.0,,,,94,SURVEI TRIWULANAN PERUSAHAAN AIR BERSIH 2025,2026-02-20 09:26:44,progress,,,,,1.0,,,,,,,,,
9501,1.0,,,,95,SURVEI TRIWULANAN PERUSAHAAN AIR BERSIH 2025,2026-02-20 09:26:44,progress,,,,,1.0,,,,,,,,,
9604,1.0,,,,96,SURVEI TRIWULANAN PERUSAHAAN AIR BERSIH 2025,2026-02-20 09:26:44,progress,,,,,1.0,,,,,,,,,
9702,4.0,4.0,,,97,PEMUTAKHIRAN DIREKTORI PERUSAHAAN AWAL - 2025,2026-02-20 09:26:44,progress,,,,,,,,,,,,,,
9501,18.0,16.0,,,95,PEMUTAKHIRAN DIREKTORI PERUSAHAAN AWAL - 2025,2026-02-20 09:26:44,progress,,,,,,,,,,,,2.0,,
9502,3.0,3.0,,,95,PEMUTAKHIRAN DIREKTORI PERUSAHAAN AWAL - 2025,2026-02-20 09:26:44,progress,,,,,,,,,,,,,,
9702,29.0,29.0,,,97,PENCACAHAN SKTR 2025,2026-02-20 09:26:44,progress,,,,,,,,,,,,,,
9704,8.0,,8.0,,97,PENCACAHAN SKTR 2025,2026-02-20 09:26:44,progress,,,,,,,,,,,,,,
9708,7.0,,7.0,,97,PENCACAHAN SKTR 2025,2026-02-20 09:26:44,progress,,,,,,,,,,,,,,
9701,2.0,2.0,,,97,PENCACAHAN SKTR 2025,2026-02-20 09:26:44,progress,,,,,,,,,,,,,,
